Dates,NORMAL (mm) ,ACTUAL (mm) 
29-May-18,3.63,3.94
30-May-18,3.65,23.95
31-May-18,3.25,2.14
01-Jun-18,4.35,5.36
02-Jun-18,4.34,9.42
03-Jun-18,4.36,9.17
04-Jun-18,5.24,12.41
05-Jun-18,5.78,5.24
06-Jun-18,6.48,5.57
07-Jun-18,6.14,7.07
08-Jun-18,6.64,18.17
09-Jun-18,5.61,14.31
10-Jun-18,5.01,14.07
11-Jun-18,5.37,12.88
12-Jun-18,5.86,7.18
13-Jun-18,6.46,10.38
14-Jun-18,7.45,7.29
15-Jun-18,7.43,7
16-Jun-18,8.04,2.62
17-Jun-18,7.86,1.23
18-Jun-18,7.22,2.16
19-Jun-18,6.68,5.92
20-Jun-18,7.02,4.73
21-Jun-18,7.24,5.42
22-Jun-18,7.88,2.75
23-Jun-18,8.74,4.27
24-Jun-18,8.89,2.59
25-Jun-18,8.73,3.86
26-Jun-18,8.81,5.27
27-Jun-18,9.04,5.22
28-Jun-18,8.01,4.56
29-Jun-18,9.2,6.95
30-Jun-18,10.6,2.39
01-Jul-18,11.32,1.79
02-Jul-18,11.05,3.69
03-Jul-18,9.85,3.13
04-Jul-18,9.68,1.84
05-Jul-18,10.65,2.22
06-Jul-18,10.85,6.68
07-Jul-18,9.9,16.23
08-Jul-18,10.28,12.01
09-Jul-18,9.78,12.4
10-Jul-18,8.87,10.83
11-Jul-18,9.23,13.12
12-Jul-18,9.99,16.9
13-Jul-18,8.9,13.54
14-Jul-18,9.59,9.4
15-Jul-18,9.78,8.21
16-Jul-18,9.27,6.01
17-Jul-18,11.07,11.11
18-Jul-18,10.69,5.93
19-Jul-18,9.79,5.42
20-Jul-18,9.43,6.18
21-Jul-18,10.38,7.65
22-Jul-18,11.27,8.44
23-Jul-18,11.63,4.42
24-Jul-18,10.65,6.46
25-Jul-18,9.9,4.66
26-Jul-18,9.01,2.55
27-Jul-18,9.04,1.25
28-Jul-18,8.86,1.86
29-Jul-18,8.66,1.83
30-Jul-18,9.06,0.99
31-Jul-18,9.13,2.61
01-Aug-18,9.31,2.31
02-Aug-18,9.26,3.76
03-Aug-18,9.13,2.31
04-Aug-18,7.75,2.71
05-Aug-18,8.25,3.67
06-Aug-18,8.07,2.83
07-Aug-18,7.51,4.18
08-Aug-18,7.73,8.34
09-Aug-18,7.95,9.55
10-Aug-18,7.9,4.51
11-Aug-18,7.5,4.48
12-Aug-18,7.74,10.25
13-Aug-18,7.68,14.88
14-Aug-18,7.9,23.47
15-Aug-18,8.21,14.84
16-Aug-18,8.06,25.11
17-Aug-18,7.5,10.55
18-Aug-18,7.1,4.2
19-Aug-18,6.59,6.42
20-Aug-18,6.89,5.31
21-Aug-18,6.93,6.53
22-Aug-18,6.62,4.57
23-Aug-18,6.39,3.61
24-Aug-18,5.87,2.65
25-Aug-18,5.54,1.85
26-Aug-18,4.84,1.61
27-Aug-18,4.37,4.11
28-Aug-18,4.7,7.7
29-Aug-18,4.75,5.14
30-Aug-18,4.65,4.53
31-Aug-18,4.63,5.99
01-Sep-18,4.32,2.88
02-Sep-18,4.95,1.49
03-Sep-18,4.5,1.02
04-Sep-18,4.55,0.31
05-Sep-18,4.24,1.03
06-Sep-18,4.43,0.27
07-Sep-18,4.02,0.92
08-Sep-18,3.7,1.29
09-Sep-18,4.16,0.19
10-Sep-18,4.25,0.32
11-Sep-18,4.56,0.94
12-Sep-18,4.7,5.5
13-Sep-18,3.81,0.37
14-Sep-18,3.97,0.39
15-Sep-18,4.66,1.77
16-Sep-18,5.38,1.5
17-Sep-18,6.99,4.18
18-Sep-18,6.26,5.29
19-Sep-18,7.7,0.95
20-Sep-18,6.96,2.37
21-Sep-18,7.07,4.9
22-Sep-18,6.64,1.52
23-Sep-18,6.49,0.34
24-Sep-18,6.81,4.46
25-Sep-18,4.76,2.65
26-Sep-18,6.16,13.16
27-Sep-18,6.65,9.85
28-Sep-18,5.95,6.24
29-Sep-18,6.14,10.17
30-Sep-18,6,3.12
01-Oct-18,5.99,1.89
02-Oct-18,7.14,2.96
03-Oct-18,5.86,0.7
04-Oct-18,5.09,3.35
05-Oct-18,4.95,4.26
06-Oct-18,5.61,5.19
07-Oct-18,5.32,4.79
08-Oct-18,6.05,0.28
09-Oct-18,6.04,3.97
10-Oct-18,4.56,3.47
11-Oct-18,4.53,0.14
12-Oct-18,3.62,0.01
13-Oct-18,3.6,0.11
14-Oct-18,3.55,0.2
15-Oct-18,3.78,5.9
16-Oct-18,3.19,3.2
17-Oct-18,3.2,19.47
18-Oct-18,3.55,14.36
19-Oct-18,3.27,4.48
20-Oct-18,3.91,1.66
21-Oct-18,3.51,0.36
22-Oct-18,4.03,0.1
23-Oct-18,3.87,0
24-Oct-18,3.87,0.28
25-Oct-18,3.43,0.12
26-Oct-18,3.01,0.06
27-Oct-18,4.46,0.01
28-Oct-18,3.4,0
29-Oct-18,2.83,0
30-Oct-18,2.66,0
31-Oct-18,1.85,0
01-Nov-18,2.01,0.22
02-Nov-18,2.68,0.12
03-Nov-18,2.03,0.59
04-Nov-18,1.88,1.44
05-Nov-18,2.55,0.7
06-Nov-18,2.37,0.02
07-Nov-18,2.56,0
08-Nov-18,2.94,0.07
09-Nov-18,1.53,0
10-Nov-18,1.14,0
11-Nov-18,1.07,0
12-Nov-18,1.47,0
13-Nov-18,1.69,0
14-Nov-18,1.3,0
15-Nov-18,1.27,0
16-Nov-18,1.06,0.04
17-Nov-18,1,0.35
18-Nov-18,0.74,0.07
19-Nov-18,1.1,5.97
20-Nov-18,1.14,2.01
21-Nov-18,1.24,0.07
22-Nov-18,1.68,0.31
23-Nov-18,1.57,0.53
24-Nov-18,0.85,1.43
25-Nov-18,0.66,0.28
26-Nov-18,0.76,0
27-Nov-18,0.3,0
28-Nov-18,0.47,0
29-Nov-18,0.8,0
30-Nov-18,0.64,0.04
01-Dec-18,0.5,0.01
02-Dec-18,0.42,0
03-Dec-18,0.79,0
04-Dec-18,0.86,0
05-Dec-18,0.45,0.8
06-Dec-18,0.47,2.28
07-Dec-18,0.25,0.43
08-Dec-18,0.34,0.03
09-Dec-18,0.55,0
10-Dec-18,0.68,0
11-Dec-18,0.48,0
12-Dec-18,0.31,0
13-Dec-18,0.51,0
14-Dec-18,0.56,0.76
15-Dec-18,0.36,0
16-Dec-18,0.27,0
17-Dec-18,0.22,0
18-Dec-18,0.12,0.06
19-Dec-18,0.08,0
20-Dec-18,0.07,0
21-Dec-18,0.12,0
22-Dec-18,0.2,0
23-Dec-18,0.15,0
24-Dec-18,0.26,0.06
25-Dec-18,0.17,0.29
26-Dec-18,0.21,0.01
27-Dec-18,0.21,0
28-Dec-18,0.24,0.11
29-Dec-18,0.12,0.07
30-Dec-18,0.18,0
31-Dec-18,0.13,0
01-Jan-19,0.11,0
02-Jan-19,0.09,0
03-Jan-19,0.07,0
04-Jan-19,0.08,0
05-Jan-19,0.11,0
06-Jan-19,0.05,0
07-Jan-19,0.05,0
08-Jan-19,0.04,0
09-Jan-19,0.09,0
10-Jan-19,0.04,0
11-Jan-19,0.1,0
12-Jan-19,0.04,0
13-Jan-19,0.03,0
14-Jan-19,0.06,0
15-Jan-19,0.21,0
16-Jan-19,0.06,0
17-Jan-19,0.04,0
18-Jan-19,0.06,0
19-Jan-19,0.03,0
20-Jan-19,0.01,0
21-Jan-19,0.01,0
22-Jan-19,0.02,0
23-Jan-19,0.05,0
24-Jan-19,0.09,0
25-Jan-19,0.02,0
26-Jan-19,0.03,0.02
27-Jan-19,0.01,0.3
28-Jan-19,0.02,0.65
29-Jan-19,0.04,0.87
30-Jan-19,0.14,0
31-Jan-19,0.1,0
01-Feb-19,0.15,0
02-Feb-19,0.02,0
03-Feb-19,0.06,0
04-Feb-19,0.02,0
05-Feb-19,0.03,0
06-Feb-19,0.01,0
07-Feb-19,0.01,0
08-Feb-19,0.06,0.44
09-Feb-19,0.05,0
10-Feb-19,0.12,1.64
11-Feb-19,0.05,1.83
12-Feb-19,0.02,0.01
13-Feb-19,0.06,0
14-Feb-19,0.07,0
15-Feb-19,0.06,0
16-Feb-19,0.06,0
17-Feb-19,0.07,0
18-Feb-19,0.07,0
19-Feb-19,0.1,0
20-Feb-19,0.32,0
21-Feb-19,0.25,0
22-Feb-19,0.27,0
23-Feb-19,0.21,0
24-Feb-19,0.19,0
25-Feb-19,0.11,0
26-Feb-19,0.09,0
27-Feb-19,0.04,0
28-Feb-19,0.11,0.02
01-Mar-19,0.11,0
02-Mar-19,0.02,0.05
03-Mar-19,0.06,0.36
04-Mar-19,0.13,0
05-Mar-19,0.32,0.07
06-Mar-19,0.52,0
07-Mar-19,0.2,0
08-Mar-19,0.31,0
09-Mar-19,0.29,0.09
10-Mar-19,0.14,0.01
11-Mar-19,0.21,0.12
12-Mar-19,0.12,0.27
13-Mar-19,0.11,0
14-Mar-19,0.2,0
15-Mar-19,0.28,0
16-Mar-19,0.34,0
17-Mar-19,0.18,0
18-Mar-19,0.16,0
19-Mar-19,0.14,0
20-Mar-19,0.06,0
21-Mar-19,0.18,0.11
22-Mar-19,0.19,0.01
23-Mar-19,0.23,0
24-Mar-19,0.3,0
25-Mar-19,0.3,0.19
26-Mar-19,0.23,1.55
27-Mar-19,0.35,0
28-Mar-19,0.52,0.16
29-Mar-19,0.51,0.16
30-Mar-19,0.27,0.74
31-Mar-19,0.41,0.85
01-Apr-19,0.62,1.67
02-Apr-19,0.83,0.17
03-Apr-19,0.75,0.94
04-Apr-19,0.64,0
05-Apr-19,0.89,2.05
06-Apr-19,1.01,0.84
07-Apr-19,0.69,0.37
08-Apr-19,0.73,0.56
09-Apr-19,0.79,1.77
10-Apr-19,0.71,1.52
11-Apr-19,0.9,1.89
12-Apr-19,1.21,1.68
13-Apr-19,1.15,0.48
14-Apr-19,1.08,1.32
15-Apr-19,1.25,0.27
16-Apr-19,1.21,0.74
17-Apr-19,1.29,0.03
18-Apr-19,0.9,1.55
19-Apr-19,1.12,3.23
20-Apr-19,1.17,0.78
21-Apr-19,1.32,2.97
22-Apr-19,1.27,0.08
23-Apr-19,1.74,1.61
24-Apr-19,2.12,1.23
25-Apr-19,2.13,0.02
26-Apr-19,1.55,0
27-Apr-19,1.9,0
28-Apr-19,1.65,0.95
29-Apr-19,1.74,0.66
30-Apr-19,2.29,4.08
01-May-19,2.17,4.68
02-May-19,2.52,0.03
03-May-19,2.38,0
04-May-19,2.11,0
05-May-19,1.97,0.04
06-May-19,1.98,0.38
07-May-19,1.41,1.27
08-May-19,1.42,2.06
09-May-19,1.63,1.19
10-May-19,1.71,0.3
11-May-19,1.97,0.32
12-May-19,1.84,1.45
13-May-19,2.51,1.98
14-May-19,3.28,1.51
15-May-19,3.17,0.5
16-May-19,3.39,1.55
17-May-19,3.06,0.79
18-May-19,3.57,1.85
19-May-19,2.73,0.33
20-May-19,3.71,2.46
21-May-19,4.29,0.54
22-May-19,3.06,4.56
23-May-19,3.55,1.62
24-May-19,4.18,5.99
25-May-19,4.3,4.93
26-May-19,3.95,2.7
27-May-19,2.95,3.79
28-May-19,3.36,0.09
29-May-19,3.63,3.12
30-May-19,3.65,1.1
31-May-19,3.25,2.4
01-Jun-19,4.35,6.29
02-Jun-19,4.34,0.16
03-Jun-19,4.36,13.05
04-Jun-19,5.24,3.48
05-Jun-19,5.78,0.64
06-Jun-19,6.48,8.12
07-Jun-19,6.14,5.54
08-Jun-19,6.64,5.17
09-Jun-19,5.61,0.26
10-Jun-19,5.01,3.8
11-Jun-19,5.37,1.81
12-Jun-19,5.86,2.92
13-Jun-19,6.46,7.67
14-Jun-19,7.45,6.33
15-Jun-19,7.43,3.9
16-Jun-19,8.04,1.02
17-Jun-19,7.86,0.22
18-Jun-19,7.22,0.22
19-Jun-19,6.68,3.25
20-Jun-19,7.02,3.47
21-Jun-19,7.24,1.56
22-Jun-19,7.88,7.77
23-Jun-19,8.74,5.63
24-Jun-19,8.89,11.39
25-Jun-19,8.73,5.39
26-Jun-19,8.81,3.81
27-Jun-19,9.04,3.08
28-Jun-19,8.01,3.93
29-Jun-19,9.2,4.97
30-Jun-19,10.6,10.69
01-Jul-19,11.32,8.78
02-Jul-19,11.05,5.05
03-Jul-19,9.85,5.99
04-Jul-19,9.68,5.41
05-Jul-19,10.65,9.4
06-Jul-19,10.85,10.49
07-Jul-19,9.9,6.96
08-Jul-19,10.28,8.27
09-Jul-19,9.78,8.79
10-Jul-19,8.87,12.29
11-Jul-19,9.23,10.92
12-Jul-19,9.99,5.56
13-Jul-19,8.9,3.18
14-Jul-19,9.59,3.72
15-Jul-19,9.78,6.21
16-Jul-19,9.27,3.46
17-Jul-19,11.07,6.13
18-Jul-19,10.69,3.2
19-Jul-19,9.79,10.67
20-Jul-19,9.43,12.09
21-Jul-19,10.38,8.09
22-Jul-19,11.27,6.76
23-Jul-19,11.63,10.65
24-Jul-19,10.65,5
25-Jul-19,9.9,5.88
26-Jul-19,9.01,6.73
27-Jul-19,9.04,9.47
28-Jul-19,8.86,2.46
29-Jul-19,8.66,6.64
30-Jul-19,9.06,10.61
31-Jul-19,9.13,4.31
01-Aug-19,9.31,3.85
02-Aug-19,9.26,6.84
03-Aug-19,9.13,9.49
04-Aug-19,7.75,12.85
05-Aug-19,8.25,15.13
06-Aug-19,8.07,36.18
07-Aug-19,7.51,33.82
08-Aug-19,7.73,37.69
09-Aug-19,7.95,36.18
10-Aug-19,7.9,31.94
11-Aug-19,7.5,12.74
12-Aug-19,7.74,3.47
13-Aug-19,7.68,7.45
14-Aug-19,7.9,6.35
15-Aug-19,8.21,12.91
16-Aug-19,8.06,4.94
17-Aug-19,7.5,7.19
18-Aug-19,7.1,3.21
19-Aug-19,6.59,9.52
20-Aug-19,6.89,7.79
21-Aug-19,6.93,4.49
22-Aug-19,6.62,4.45
23-Aug-19,6.39,6.63
24-Aug-19,5.87,5.1
25-Aug-19,5.54,5.59
26-Aug-19,4.84,1.68
27-Aug-19,4.37,3.11
28-Aug-19,4.7,1.13
29-Aug-19,4.75,2.44
30-Aug-19,4.65,4.92
31-Aug-19,4.63,5.6
01-Sep-19,4.32,8.8
02-Sep-19,4.95,8.53
03-Sep-19,4.5,8.11
04-Sep-19,4.55,9.62
05-Sep-19,4.24,13.42
06-Sep-19,4.43,10.05
07-Sep-19,4.02,8.26
08-Sep-19,3.7,11.87
09-Sep-19,4.16,8.07
10-Sep-19,4.25,2.72
11-Sep-19,4.56,2.11
12-Sep-19,4.7,2.15
13-Sep-19,3.81,3.8
14-Sep-19,3.97,1.39
15-Sep-19,4.66,4.27
16-Sep-19,5.38,3.81
17-Sep-19,6.99,5.63
18-Sep-19,6.26,8.37
19-Sep-19,7.7,10.79
20-Sep-19,6.96,8.69
21-Sep-19,7.07,0.96
22-Sep-19,6.64,4.22
23-Sep-19,6.49,7.18
24-Sep-19,6.81,25.33
25-Sep-19,4.76,16.05
26-Sep-19,6.16,15.52
27-Sep-19,6.65,5.1
28-Sep-19,5.95,5.48
29-Sep-19,6.14,3.15
30-Sep-19,6,2
01-Oct-19,5.99,4.31
02-Oct-19,7.14,8.62
03-Oct-19,5.86,3.76
04-Oct-19,5.09,10.14
05-Oct-19,4.95,7.01
06-Oct-19,5.61,18.45
07-Oct-19,5.32,10.24
08-Oct-19,6.05,5.71
09-Oct-19,6.04,9.1
10-Oct-19,4.56,10.91
11-Oct-19,4.53,10.89
12-Oct-19,3.62,6.3
13-Oct-19,3.6,4.2
14-Oct-19,3.55,5.56
15-Oct-19,3.78,1.46
16-Oct-19,3.19,8.54
17-Oct-19,3.2,2.41
18-Oct-19,3.55,7.06
19-Oct-19,3.27,17.08
20-Oct-19,3.91,9.3
21-Oct-19,3.51,23.53
22-Oct-19,4.03,19.73
23-Oct-19,3.87,10.07
24-Oct-19,3.87,10.66
25-Oct-19,3.43,7.66
26-Oct-19,3.01,14.22
27-Oct-19,4.46,6.69
28-Oct-19,3.4,7.21
29-Oct-19,2.83,0.87
30-Oct-19,2.66,2.56
31-Oct-19,1.85,4.41
01-Nov-19,2.01,6.35
02-Nov-19,2.68,1.23
03-Nov-19,2.03,0.39
04-Nov-19,1.88,0.5
05-Nov-19,2.55,7.09
06-Nov-19,2.37,0.69
07-Nov-19,2.56,6.01
08-Nov-19,2.94,2.54
09-Nov-19,1.53,3.16
10-Nov-19,1.14,1.72
11-Nov-19,1.07,0.67
12-Nov-19,1.47,0.3
13-Nov-19,1.69,0
14-Nov-19,1.3,0
15-Nov-19,1.27,1.05
16-Nov-19,1.06,0.92
17-Nov-19,1,0.7
18-Nov-19,0.74,0
19-Nov-19,1.1,0.02
20-Nov-19,1.14,0.29
21-Nov-19,1.24,1.04
22-Nov-19,1.68,0.07
23-Nov-19,1.57,0.02
24-Nov-19,0.85,0
25-Nov-19,0.66,0.05
26-Nov-19,0.76,0.02
27-Nov-19,0.3,0.12
28-Nov-19,0.47,0.04
29-Nov-19,0.8,0.07
30-Nov-19,0.64,0.09
01-Dec-19,0.5,1.74
02-Dec-19,0.42,6.39
03-Dec-19,0.79,1.98
04-Dec-19,0.86,0.14
05-Dec-19,0.45,0
06-Dec-19,0.47,0
07-Dec-19,0.25,0
08-Dec-19,0.34,0.06
09-Dec-19,0.55,0.01
10-Dec-19,0.68,0
11-Dec-19,0.48,0
12-Dec-19,0.31,0
13-Dec-19,0.51,0
14-Dec-19,0.56,0
15-Dec-19,0.36,0.49
16-Dec-19,0.27,0
17-Dec-19,0.22,0.08
18-Dec-19,0.12,0
19-Dec-19,0.08,0
20-Dec-19,0.07,0
21-Dec-19,0.12,0
22-Dec-19,0.2,0
23-Dec-19,0.15,0
24-Dec-19,0.26,0
25-Dec-19,0.17,0
26-Dec-19,0.21,0.17
27-Dec-19,0.21,0.33
28-Dec-19,0.24,0.12
29-Dec-19,0.12,0.28
30-Dec-19,0.18,0.04
31-Dec-19,0.13,0.48
01-Jan-20,0.11,0.03
02-Jan-20,0.09,0.01
03-Jan-20,0.07,0.11
04-Jan-20,0.08,0.01
05-Jan-20,0.11,0
06-Jan-20,0.05,0
07-Jan-20,0.05,0
08-Jan-20,0.04,0
09-Jan-20,0.09,0
10-Jan-20,0.04,0
11-Jan-20,0.1,0
12-Jan-20,0.04,0
13-Jan-20,0.03,0
14-Jan-20,0.06,0
15-Jan-20,0.21,0
16-Jan-20,0.06,0
17-Jan-20,0.04,0
18-Jan-20,0.06,0
19-Jan-20,0.03,0.01
20-Jan-20,0.01,0
21-Jan-20,0.01,0
22-Jan-20,0.02,0
23-Jan-20,0.05,0
24-Jan-20,0.09,0
25-Jan-20,0.02,0
26-Jan-20,0.03,0
27-Jan-20,0.01,0
28-Jan-20,0.02,0
29-Jan-20,0.04,0
30-Jan-20,0.14,0
31-Jan-20,0.1,0
01-Feb-20,0.15,0
02-Feb-20,0.02,0
03-Feb-20,0.06,0
04-Feb-20,0.02,0
05-Feb-20,0.03,0
06-Feb-20,0.01,0
07-Feb-20,0.01,0
08-Feb-20,0.06,0
09-Feb-20,0.05,0.17
10-Feb-20,0.12,0
11-Feb-20,0.05,0
12-Feb-20,0.02,0
13-Feb-20,0.06,0
14-Feb-20,0.07,0
15-Feb-20,0.06,0
16-Feb-20,0.06,0
17-Feb-20,0.07,0
18-Feb-20,0.07,0
19-Feb-20,0.1,0
20-Feb-20,0.32,0
21-Feb-20,0.25,0
22-Feb-20,0.27,0
23-Feb-20,0.21,0
24-Feb-20,0.19,0
25-Feb-20,0.11,0
26-Feb-20,0.09,0
27-Feb-20,0.04,0.13
28-Feb-20,0.11,0.01
29-Feb-20,0,0.14
01-Mar-20,0.11,0.29
02-Mar-20,0.02,1.69
03-Mar-20,0.06,0.42
04-Mar-20,0.13,0.19
05-Mar-20,0.32,0.07
06-Mar-20,0.52,0.04
07-Mar-20,0.2,0.29
08-Mar-20,0.31,0.22
09-Mar-20,0.29,0.24
10-Mar-20,0.14,0
11-Mar-20,0.21,0.08
12-Mar-20,0.12,0.01
13-Mar-20,0.11,0.06
14-Mar-20,0.2,0.02
15-Mar-20,0.28,0
16-Mar-20,0.34,0
17-Mar-20,0.18,0
18-Mar-20,0.16,0.04
19-Mar-20,0.14,1.24
20-Mar-20,0.06,0.19
21-Mar-20,0.18,0.48
22-Mar-20,0.19,0.03
23-Mar-20,0.23,0
24-Mar-20,0.3,0.68
25-Mar-20,0.3,1.35
26-Mar-20,0.23,0.53
27-Mar-20,0.35,0
28-Mar-20,0.52,0.01
29-Mar-20,0.51,0
30-Mar-20,0.27,0
31-Mar-20,0.41,0.01
01-Apr-20,0.62,0.04
02-Apr-20,0.83,0
03-Apr-20,0.75,0.04
04-Apr-20,0.64,0.38
05-Apr-20,0.89,0.16
06-Apr-20,1.01,4.12
07-Apr-20,0.69,4.13
08-Apr-20,0.73,6.45
09-Apr-20,0.79,1.32
10-Apr-20,0.71,1.9
11-Apr-20,0.9,0.97
12-Apr-20,1.21,0.1
13-Apr-20,1.15,0.22
14-Apr-20,1.08,0.11
15-Apr-20,1.25,0
16-Apr-20,1.21,0.02
17-Apr-20,1.29,0.93
18-Apr-20,0.9,0.88
19-Apr-20,1.12,4.54
20-Apr-20,1.17,0.17
21-Apr-20,1.32,1.87
22-Apr-20,1.27,1.79
23-Apr-20,1.74,1.14
24-Apr-20,2.12,3.38
25-Apr-20,2.13,0.88
26-Apr-20,1.55,1.64
27-Apr-20,1.9,1.22
28-Apr-20,1.65,0.23
29-Apr-20,1.74,7.12
30-Apr-20,2.29,1.23
01-May-20,2.17,3.08
02-May-20,2.52,2.99
03-May-20,2.38,3.39
04-May-20,2.11,2.73
05-May-20,1.97,1.06
06-May-20,1.98,2.02
07-May-20,1.41,1.9
08-May-20,1.42,5.55
09-May-20,1.63,1.6
13-May-20,2.51,0.36
14-May-20,3.28,1.87
15-May-20,3.17,4.75
16-May-20,3.39,4.16
17-May-20,3.06,1.13
18-May-20,3.57,14.03
19-May-20,2.73,1.01
20-May-20,3.71,3.19
21-May-20,4.29,0.35
22-May-20,3.06,0.77
23-May-20,3.55,1.53
24-May-20,4.18,0.7
25-May-20,4.3,1.89
26-May-20,3.95,4.72
27-May-20,2.95,1.68
28-May-20,3.36,2.2
29-May-20,3.63,2.14
30-May-20,3.65,8.58
31-May-20,3.25,2.68
01-Jun-20,4.35,9.17
02-Jun-20,4.34,11.94
03-Jun-20,4.36,5.59
04-Jun-20,5.24,7.01
05-Jun-20,5.78,2.55
06-Jun-20,6.48,2.24
07-Jun-20,6.14,3.89
08-Jun-20,6.64,1.36
09-Jun-20,5.61,0.59
10-Jun-20,5.01,0.92
11-Jun-20,5.37,12.97
12-Jun-20,5.86,8.95
13-Jun-20,6.46,4.54
14-Jun-20,7.45,6.05
15-Jun-20,7.43,5.06
16-Jun-20,8.04,5.22
17-Jun-20,7.86,14.12
18-Jun-20,7.22,9.15
19-Jun-20,6.68,4.75
20-Jun-20,7.02,4.1
21-Jun-20,7.24,1.58
22-Jun-20,7.88,4.6
23-Jun-20,8.74,4.6
24-Jun-20,8.89,2.75
25-Jun-20,8.73,5.85
26-Jun-20,8.81,17.46
27-Jun-20,9.04,3.3
28-Jun-20,8.01,7.9
29-Jun-20,9.2,6.51
30-Jun-20,10.6,10.38
01-Jul-20,11.32,2.81
02-Jul-20,11.05,5.5
03-Jul-20,9.85,16.07
04-Jul-20,9.68,9.2
05-Jul-20,10.65,7.52
06-Jul-20,10.85,5.17
07-Jul-20,9.9,5.63
08-Jul-20,10.28,13.49
09-Jul-20,9.78,14.63
10-Jul-20,8.87,14.29
11-Jul-20,9.23,4.68
12-Jul-20,9.99,4.73
13-Jul-20,8.9,2.76
29-Jul-20,8.66,8.02
30-Jul-20,9.06,12.41
31-Jul-20,9.13,5.24
01-Aug-20,9.31,6.68
02-Aug-20,9.26,6.18
03-Aug-20,9.13,9.04
04-Aug-20,7.75,15.81
05-Aug-20,8.25,26.81
06-Aug-20,8.07,25.58
07-Aug-20,7.51,19.76
08-Aug-20,7.73,14.26
09-Aug-20,7.95,9.5
10-Aug-20,7.9,13.99
11-Aug-20,7.5,8.75
12-Aug-20,7.74,7.99
13-Aug-20,7.68,3.03
14-Aug-20,7.9,4.56
15-Aug-20,8.21,4.33
16-Aug-20,8.06,13.47
17-Aug-20,7.5,20.03
18-Aug-20,7.1,8.93
19-Aug-20,6.59,6.82
20-Aug-20,6.89,3.15
21-Aug-20,6.93,12.01
22-Aug-20,6.62,5.63
23-Aug-20,6.39,4.9
24-Aug-20,5.87,3.39
25-Aug-20,5.54,1.51
26-Aug-20,4.84,0.74
27-Aug-20,4.37,1.08
28-Aug-20,4.7,1.69
29-Aug-20,4.75,1.51
30-Aug-20,4.65,3.09
31-Aug-20,4.63,5.34
01-Sep-20,4.32,6.64
02-Sep-20,4.95,7.21
03-Sep-20,4.5,20.52
04-Sep-20,4.55,8.18
05-Sep-20,4.24,4.83
06-Sep-20,4.43,1.82
07-Sep-20,4.02,12.91
08-Sep-20,3.7,5.81
09-Sep-20,4.16,13.08
10-Sep-20,4.25,14.73
11-Sep-20,4.56,6.99
12-Sep-20,4.7,9.63
13-Sep-20,3.81,14.24
14-Sep-20,3.97,7.25
15-Sep-20,4.66,7.83
16-Sep-20,5.38,8.33
17-Sep-20,6.99,7.4
18-Sep-20,6.26,11.78
19-Sep-20,7.7,5.47
20-Sep-20,6.96,16.92
21-Sep-20,7.07,20.48
22-Sep-20,6.64,10.2
23-Sep-20,6.49,4.14
24-Sep-20,6.81,1.43
25-Sep-20,4.76,1.74
26-Sep-20,6.16,22.95
27-Sep-20,6.65,7.55
28-Sep-20,5.95,3.21
29-Sep-20,6.14,1.24
30-Sep-20,6,7.8
01-Oct-20,5.99,9.09
02-Oct-20,7.14,0.76
03-Oct-20,5.86,2.87
04-Oct-20,5.09,1.46
05-Oct-20,4.95,1.43
06-Oct-20,5.61,1.43
07-Oct-20,5.32,2
08-Oct-20,6.05,1.09
09-Oct-20,6.04,2.57
10-Oct-20,4.56,16.23
11-Oct-20,4.53,18.69
12-Oct-20,3.62,12.62
13-Oct-20,3.6,11.82
14-Oct-20,3.55,22.66
15-Oct-20,3.78,16.6
16-Oct-20,3.19,2.5
17-Oct-20,3.2,0.63
18-Oct-20,3.55,1.52
19-Oct-20,3.27,3.2
20-Oct-20,3.91,4.62
21-Oct-20,3.51,19.18
22-Oct-20,4.03,10.25
23-Oct-20,3.87,4.87
24-Oct-20,3.87,4.4
25-Oct-20,3.43,1.35
26-Oct-20,3.01,1.61
27-Oct-20,4.46,0.47
28-Oct-20,3.4,0.02
29-Oct-20,2.83,0.01
30-Oct-20,2.66,0.06
31-Oct-20,1.85,0.01
01-Nov-20,2.01,0.61
02-Nov-20,2.68,0.69
03-Nov-20,2.03,0.62
04-Nov-20,1.88,0.09
05-Nov-20,2.55,0.41
06-Nov-20,2.37,4.11
07-Nov-20,2.56,0.39
08-Nov-20,2.94,0.12
09-Nov-20,1.53,0.03
10-Nov-20,1.14,0
11-Nov-20,1.07,0
12-Nov-20,1.47,0.01
13-Nov-20,1.69,0.17
14-Nov-20,1.3,2.85
15-Nov-20,1.27,0
16-Nov-20,1.06,2.42
17-Nov-20,1,3.86
18-Nov-20,0.74,0.74
19-Nov-20,1.1,0.04
20-Nov-20,1.14,0
21-Nov-20,1.24,0.07
22-Nov-20,1.68,0
23-Nov-20,1.57,0
24-Nov-20,0.85,0
25-Nov-20,0.66,0
26-Nov-20,0.76,1.94
27-Nov-20,0.3,4.42
28-Nov-20,0.47,2.53
29-Nov-20,0.8,0.27
30-Nov-20,0.64,0.23
01-Dec-20,0.5,0
02-Dec-20,0.42,0
03-Dec-20,0.79,0.04
04-Dec-20,0.86,0.57
05-Dec-20,0.45,0.63
06-Dec-20,0.47,0.56
07-Dec-20,0.25,0.92
08-Dec-20,0.34,2.9
